"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"151","Drew Rasmussen","RP","RP45",14.3772551941665,7.93469888494144,7.8123975,116.74625,0,3.44436923190738,1.14699077927175,121.65525,8.63683441528418,3.89908965438929
"152","Drew Smyly",NA,"NA289",-10.020644416472,NA,1.63267,33.1949,0,4.58027827492639,1.2995496795797,34.642,8.62404306910686,2.70422477841502
"153","Drew Thorpe","SP","SP462",-16.33577549401,NA,4.18889,58.0521,0,4.58011943720839,1.31775787963883,82.6878,6.31857299383948,2.07353366646783
"154","Drey Jameson","RP","RP263",-9.18006730837252,2.97420598129948,2.8999875,50.945325,0,4.00928418436505,1.32617134133961,56.270425,8.14829326417918,2.5843943046796
"155","Dustin May","RP","RP125",-0.289962374598843,2.55889912724566,5.21506666666667,77.7766,0,3.62440738561537,1.18168044325293,75.8573666666667,9.22770497789492,3.03794669885203
"156","Dylan Cease","SP","SP22",25.0468164187489,3.15913807716336,12.249475,214.3615,0,3.56869433981091,1.18342064343386,180.3915,10.6948137800284,3.14500851131412
"157","Dylan Dodd",NA,"NA353",-11.8644969007296,2.65383950539056,1.94093333333333,28.5408,0,4.36810992230525,1.33147935248197,35.9526666666667,7.14459381779748,2.90137236962489
"158","Dylan Floro","RP","RP300",-10.2710243251438,NA,1.73613,29.3748,0,4.29918178142974,1.30835108744447,40.3193,6.55698883661175,2.62406203101551
"159","Dylan Lee","RP","RP86",5.06506828268144,3.24190928324166,3.65062,68.2022,0,3.39774948689952,1.15663582852543,59.966325,10.2360749970921,4.09663420098688
"160","Easton Lucas",NA,"NA451",-16.0029599072153,2.99753327108863,1.7676,40.5245666666667,0,4.4797942289138,1.40117521251179,45.9151,7.94338028230364,2.08220137667396
"161","Eduard Bazardo","RP","RP180",-4.58272793763945,1.32439253488601,2.7578,45.6453666666667,0,3.8214733291346,1.22874212292332,46.8395,8.77055263185986,2.85841528149742
"162","Eduardo Rodriguez","SP","SP257",-8.92264247613005,2.9454640917183,9.2847425,130.75,0,4.0867367957887,1.30228466698721,140.90675,8.35126777106136,2.82832958746406
"163","Eduardo Salazar",NA,"NA478",-17.7322107047289,3.20665071242892,2.0017075,38.0631,0,4.4885812992526,1.43352977924297,49.822875,6.875715221171,1.90346669267092
"164","Edward Cabrera","SP","SP471",-17.1661044529245,3.66279810711534,6.2243325,124.13175,0,4.20970167087151,1.36071813004502,118.21675,9.45031689671726,2.15455919421698
"165","Edwin Díaz","RP","RP10",33.4398536240246,1.9019614709696,4.586075,91.20825,34.963,3.03199207544442,1.07385903817603,63.296925,12.9686276229059,3.93339493082142
"166","Edwin Uceta","RP","RP137",-1.37002740846289,3.96529564122529,2.6835575,70.86075,5.821,3.92828306478505,1.23913489062166,63.42435,10.0552350950384,2.85856774604763
"167","Eli Morgan","RP","RP214",-6.35297490036215,2.13117307330984,2.5307725,45.234425,0,4.08864376638157,1.22794930156953,48.4157,8.4086324270846,3.17050207555402
"168","Elvis Peguero",NA,"NA262",-9.1707401903854,1.65476391835539,3.2476175,49.05735,0,3.99887663942996,1.33994321243769,54.879975,8.04512301618213,2.20572931595542
"169","Emerson Hancock","SP","SP506",-20.8350265999194,5.72405821917665,3.275815,44.181675,0,4.74259580664868,1.34224852665105,61.751325,6.43929624182153,2.14445783264107
"170","Emilio Pagán","RP","RP213",-6.24726818230129,1.08995012414649,3.3809975,64.43435,7.1075,4.52381809710245,1.259972925961,62.34755,9.30123396989938,3.15944871513557
"171","Emmanuel Clase","RP","RP9",33.9425357682963,6.77339148765846,4.101055,62.032875,33.7845,2.65512206891608,1.04567592130793,64.86295,8.60731550137636,4.743644399922
"172","Enyel De Los Santos",NA,"NA288",-10.0105199136114,2.55274953008084,2.036715,47.7417,0,4.21698990053851,1.3039904903658,46.9629,9.1492497269121,2.72941506041489
"173","Eric Orze",NA,"NA295",-10.116023513639,1.73331012747256,2.75183333333333,48.8447,0,4.19894073634306,1.33627431207515,46.9382666666667,9.36554183225059,2.34367562760703
